,x,y
0,1.2713232742767526,9.576416666666669e-23
1,1.4316458145368158,5.873e-22
2,1.9209498479680436,1.1723e-19
3,4.984952550348176,4.848783333333333e-19
4,6.710325636015332,6.30875e-18
5,7.945563196950071,7.218699999999999e-17
6,12.068636046678549,1.2837200000000001e-16
7,13.181991592974155,4.2267333333333335e-16
8,16.290541403948524,4.2398e-16
9,21.978504121560803,1.00062e-15
10,28.23767147516356,2.685725e-15
11,39.38711096803991,3.8415000000000006e-15
12,43.25489657516919,5.841916666666667e-15
13,45.75623139028057,8.186058333333334e-15
14,61.76980881329239,1.8250616666666667e-14
15,98.36801557417938,3.9024e-14
16,133.0861643451844,4.3258333333333334e-14
17,133.8816389583567,4.9086e-14
18,585.029875177024,5.649375000000001e-14
19,716.7447661809981,7.829689166666667e-14
20,837.2798948545459,9.239666666666666e-14
21,41810.44902761166,8.300250000000001e-20
22,13971.2136696333,2.244e-19
23,6487.523336636885,1.381125e-18
24,6228.396091300714,9.242566666666668e-16
25,4746.359483195109,2.5835716666666667e-15
26,3114.849723789576,1.0877083333333335e-14
27,1069.6041509673962,3.7723833333333333e-14
28,837.2798948545459,9.239666666666666e-14
