,Unnamed: 0,Lam1,Lam2,Lam3,Lam4,Lam5,Lam6,Lam7,Lam8,Lam9,Lam10,Lam11,MS2,Mn2,vX,Yc,muC,g1p,epsilon,ZL11,ZL12,ZL21,ZL22,ZR11,ZR12,ZR21,ZR22,ZN11,ZN12,ZN21,ZN22,mXi_1,mXi_2,mns_1,mns_2,YnL11,YnL12,YnL13,YnL21,YnL22,YnL23,YnR11,YnR12,YnR13,YnR21,YnR22,YnR23,Omega1,Omega2,SIN1,SIN2,sv,MZp,mh1,mh2,theta,thetaf,T,S,U,g2mu,mChi,TWpSPheno,MZpSPheno
0,1,0.2581663723316629,0.0001011191389705,0.002271312400927,0.0089567363422275,0.103938475125914,0.0014395254777284,0.0082912237189,0.0473625521593517,0.0002383316007203,0.0009459469561739,0.3587603417496409,5204061.793261958,29856788.311700527,5401.440022209188,0.2246505399428011,213.34884574649,0.004430842525867,0.0002388346272287,-0.9365696947433134,-0.3504813930701841,0.3504813930701841,-0.9365696947433134,-0.9365696947433134,-0.3504813930701841,0.3504813930701841,-0.9365696947433134,-0.00106079034897,0.9999994373617594,0.9999994373617594,0.00106079034897,864.6156805083306,1619.8484111767848,2284.259271382765,5475.22666614015,0.0,0.0001693135119972,0.000604109446167,0.0,0.6062425754548527,0.1949409989547003,1.167953717794811e-06,6.95605432515252e-06,6.706780028890154e-06,3.874070958081655e-10,-8.52140191616887e-10,-2.063707444624753e-09,0.0554,0.0631,5.945e-15,3.222e-14,3.222e-14,215.3963590752876,125.1,1741.3970946484835,0.0006346069885867,5.070474030622544,-9.59386817e-08,1.59810397e-07,3.11948503e-07,-1.0699759e-13,858.0291193232264,-2.466117326978808e-05,215.3963590752876
1,4,0.2581649090047808,0.001122746506391,0.0006443878081968,0.0341703821292087,0.2411237824213506,0.0021089005288209,0.2809078096103506,0.9854392796652538,0.00036341258451,0.0945599526043843,0.0605267001519661,17783703.215779196,3787909.16269548,3016.69104624272,0.3284739462927964,978.4450568741022,0.0046760376933339,0.0053668607369539,-0.9441716969154093,-0.3294538006213872,0.3294538006213872,-0.9441716969154093,-0.9441716969154093,-0.3294538006213872,0.3294538006213872,-0.9441716969154093,-0.9999580347910084,0.0091612584781998,-0.0091612584781998,-0.9999580347910084,707.2885410972758,947.8391703308222,2250.788996163809,4267.913504814533,0.0,0.0154482488444782,0.0756874103211211,0.0,0.0511523456363491,0.6172892418834255,-1.0247565419977336e-08,-3.312382639885002e-09,1.9198976666764872e-08,8.472888948487053e-10,-6.68234980409558e-10,-2.946748978110334e-09,0.0694,0.048,2.48e-12,2.627e-10,2.627e-10,126.95179275522965,125.1,1481.3271050531664,0.000718981916195,0.3357250209047004,3.87789599e-05,-2.08729216e-05,1.60584128e-05,1.21405141e-13,700.675229731726,-0.0027049580581397,126.95179275522965
2,7,0.258146614202501,0.0009324237219657,0.3497793412576899,0.0004109999778879,0.0176909507233048,7.060989544128074e-05,0.003192365842045,0.0021430085270623,0.1387236854664943,0.0001130524279192,0.0005958507088928,13066107.03574014,1960737.4194990704,20597.113230966155,0.1011408760850171,440.6517790213558,0.0012024430816778,2.626865253002947e-06,-0.9106045367774256,-0.4132788133940215,0.4132788133940215,-0.9106045367774256,-0.9106045367774256,-0.4132788133940215,0.4132788133940215,-0.9106045367774256,-0.9999865154557844,0.0051931595968415,-0.0051931595968415,-0.9999865154557844,1476.488745329886,1480.812840759862,1627.3405046944918,3618.642637166512,0.0,0.0533945038568868,0.1113306957233704,0.0,0.7718366545105321,0.0060228431437145,-1.238930365888409e-09,-6.2622055152438545e-09,-6.150427706235824e-09,-4.432040968102806e-11,3.2571534791422046e-10,5.60600979077136e-10,0.113,8.31e-06,3.668e-18,1.451e-18,1.451e-18,222.901706762464,125.1,2739.5671085618123,4.781222031154955e-05,0.4260518322419917,-3.1843399e-09,-5.22949078e-07,3.45821815e-06,-1.41062899e-12,1473.0519720844152,-2.4967224431875763e-07,222.901706762464
3,9,0.2581464304971324,0.0048630160503604,0.0001163628525516,0.0002394869830089,0.2967194356808713,0.0001708117120992,0.0048099103348597,0.0243421682755352,0.1045698253925183,0.0001140481802432,0.001127673726767,76171310.43149023,41785584.58352307,3710.8692553791343,0.371712685144311,1020.3753175896528,0.0092813323317595,0.0001288223921911,-0.999992795312023,-0.0037959615444118,0.0037959615444118,-0.999992795312023,-0.999992795312023,-0.0037959615444118,0.0037959615444118,-0.999992795312023,-0.9999933158922686,0.0036562509193627,-0.0036562509193627,-0.9999933158922686,1001.4942714343836,1006.544915826024,6466.703459298273,8727.870572563977,0.0,0.0002896544493093,0.1847905743676836,0.0,0.0001785805165339,0.0189348288022392,2.5847700097756845e-07,2.057988987207881e-07,-2.979909507689415e-07,-2.5415956432573675e-06,-2.1395887737071883e-06,2.754655866720977e-06,0.0501,0.0648,2.962e-16,1.503e-14,1.503e-14,309.97629204582427,125.1,2021.383194272272,3.834307519577837e-05,0.0037959706606775,2.07085445e-09,-8.58364462e-08,2.20022115e-07,2.16204733e-14,975.3669543529264,-5.771137867614178e-06,309.97629204582427
4,14,0.2581641666215005,0.0053721697475555,0.0075595196963859,0.0001349834162061,0.6722160495946937,0.0034593522929707,0.0031676825881893,0.050896399398908,0.1423406831010399,0.5521183145232416,0.1171868005938183,1468254.64069287,16777846.099529345,3582.893539777262,0.5588235885474031,840.6666455242533,0.0071996258630318,0.0066382288773054,-0.9999952662677812,-0.0030769208682099,0.0030769208682099,-0.9999952662677812,-0.9999952662677812,-0.0030769208682099,0.0030769208682099,-0.9999952662677812,-0.0087830945060906,0.9999614278815444,0.9999614278815444,0.0087830945060906,1419.1485175685514,1442.6937782454945,2239.52371960855,4098.697396346664,0.0,0.0001716931334611,0.0311989310502037,0.0,0.0062138332303362,0.0060212050637081,1.457011700964223e-09,1.5891055719150812e-08,1.7540364875702925e-08,1.0410216726704338e-08,8.726290066997849e-09,-1.3784670223749952e-08,0.0484,0.0746,8.256e-13,8.248e-11,8.248e-11,232.14920703509165,125.1,2937.5709843340865,0.0003542947101677,0.0030769257233256,1.93821183e-05,-9.16689125e-06,5.57395625e-06,8.84767226e-14,1415.773033545141,-0.0005726823013802,232.14920703509165
5,15,0.258146422544977,0.0002105400235064,0.0277941132531202,0.0020299967415237,0.0061235539005135,2.3482798632313683e-05,0.0006700721623701,0.0003099115415198,0.004003325069489,0.0474942875272089,0.6228132981629619,4772028.382295905,16443913.2545553,18150.422418866645,0.203021992173319,269.4300519437478,0.0018197323963152,0.000710152550746,-0.9999602134961398,-0.0089202816521921,0.0089202816521921,-0.9999602134961398,-0.9999602134961398,-0.0089202816521921,0.0089202816521921,-0.9999602134961398,-0.0083756349306262,0.999964923754583,0.999964923754583,0.0083756349306262,3321.8276682758114,3327.4170339860902,3548.9547067697563,4068.841196045929,0.0,0.0002896882154742,0.0532367287972596,0.0,0.0006893364296996,0.0003375076470826,3.6959114222132334e-09,2.453363389857396e-08,2.60116905870159e-08,2.5118540512967494e-07,2.376266524553775e-07,-3.373916547744887e-07,0.115,2.34e-16,3.132e-16,2.127e-14,2.127e-14,297.26005522856707,125.1,1420.3275462960066,5.242835133635801e-05,0.0089203999563486,8.68290032e-08,-1.99283833e-08,5.86798789e-07,2.21034358e-14,2605.6424689366863,-3.488318205160075e-05,297.26005522856707
6,18,0.2581467236345349,0.0001967625420423,0.0001232211103369,0.017359486352521,0.011551825821438,6.719891367625548e-05,0.1483234911354528,0.0480104689464783,0.001570984072025,0.2075724094416753,0.3095178005980559,1192029.6000763956,81421722.13364118,23779.2251223532,0.3782010204579968,766.2576994043595,0.0021573137221929,1.2788819578807517e-06,-0.895600956704845,-0.444858321659117,0.444858321659117,-0.895600956704845,-0.895600956704845,-0.444858321659117,0.444858321659117,-0.895600956704845,-0.0014860650405382,0.999998895804738,0.999998895804738,0.0014860650405382,6463.950636004276,6482.956845186629,7738.088077391977,11106.63162493304,0.0,0.216479171043336,0.0001680460982223,0.0,0.4732383775778345,0.0006967417828619,-1.8105414271556704e-06,-9.231354956865264e-06,-7.5642605667242335e-06,8.279040027540202e-07,4.219454174206604e-06,3.456743498289505e-06,0.111,0.00617,6.957e-17,6.964e-17,6.964e-17,461.693237935366,125.1,2555.77733967746,6.0378181202944925e-05,0.4610160610168603,8.52328704e-09,1.06820143e-07,7.42021808e-08,3.3918022200000004e-15,6359.24265348108,-2.4548238381315792e-08,461.693237935366
7,19,0.258146334738728,0.5930168681270287,0.5443318314515085,0.0019718372768321,1.9560268893112207,7.589199610729112e-05,0.0002347400831527,0.25086275999327,0.0299517735466338,0.0793252318823385,0.1687914525812388,5403577.396881287,72653337.10262555,2004.583514963833,0.9265685828296714,650.8631127138799,0.0204014827730942,9.11141454865474e-05,-0.997114940825054,-0.0759064870972758,0.0759064870972758,-0.997114940825054,-0.997114940825054,-0.0759064870972758,0.0759064870972758,-0.997114940825054,-0.0011940388194462,0.9999992871353948,0.9999992871353948,0.0011940388194462,1323.2504149309264,1327.1140404581472,2358.764104655112,8524.69730402141,0.0,0.3887936985358884,0.0052494928421427,0.0,0.0058686499278135,0.0004320208873638,-1.4750119463350373e-08,-7.135543554055781e-08,-7.151668145741555e-08,1.0149180793182915e-06,4.752553927358309e-06,4.682248708623198e-06,0.049,0.0726,2.121e-16,1.952e-14,1.952e-14,368.0682813742461,125.1,2803.5710379614,4.775148848467366e-06,0.075979569678944,2.31657758e-09,-6.13576203e-08,1.26378093e-07,-1.90683752e-15,1313.3688970617782,-2.817441550803663e-06,368.0682813742461
8,21,0.2581464650649807,0.037706353559054,0.0239805967154549,0.4835390474163029,1.675871239203116,0.0004717782951092,0.0154533137985759,0.0008282399319718,0.094909988146532,0.0017438321827324,0.0003503326781506,10839664.39230003,1405267.3453955504,1635.513918651409,0.809611217551779,1565.0222117988865,0.0219551212039422,0.0015022618242777,-0.9955768126978216,-0.0939511044024855,0.0939511044024855,-0.9955768126978216,-0.9955768126978216,-0.0939511044024855,0.0939511044024855,-0.9955768126978216,-0.9997903404620916,0.0204762086015667,-0.0204762086015667,-0.9997903404620916,1002.332899267824,1008.094549535378,1198.905133505027,3293.754637098972,0.0,0.0048068007583616,0.0005335964451433,0.0,0.3691947183566426,0.8986600375309923,-1.795161021210176e-09,1.0521852077750071e-08,2.403803130916537e-08,-4.4408758047149675e-11,-2.0670392840099598e-10,-2.3377564139817425e-10,0.108,0.0113,9.572e-14,1.05e-11,1.05e-11,323.1704275045563,125.1,2117.2618329295105,4.252910311607056e-05,4.806478851445282,0.000592891182,0.000240437379,6.92591022e-06,-6.15415293e-13,936.3015956234472,-6.145125347394464e-05,323.1704275045563
9,22,0.2581463318274505,0.0008751058752599,0.0219880823116936,0.0001438371970491,0.9906902504601413,6.200208430906479e-06,0.0026311770396118,0.0009961827919713,0.0151699533981902,0.0273286930454824,0.0014314853191942,66125928.23989834,1841898.0341372665,1387.1409211229518,0.6422926531645009,149.2420521942358,0.0135016749886214,9.585882041583392e-06,-0.9999992993604996,-0.0011837561023634,0.0011837561023634,-0.9999992993604996,-0.9999992993604996,-0.0011837561023634,0.0011837561023634,-0.9999992993604996,-0.9999999591852948,0.0002857086086918,-0.0002857086086918,-0.9999999591852948,638.3697424215602,807.707430587503,1358.3427610524914,8133.430132075085,0.0,0.0218266471149205,0.0002483831822326,0.0,0.7759500423267698,0.0559382363583203,1.5133420074420036e-06,7.27220498287718e-06,7.26480422913613e-06,-3.656440577306487e-08,-1.696013992898031e-07,-1.6654614347002086e-07,0.0697,0.0417,2.091e-17,2.199e-15,2.199e-15,168.55853290828304,125.1,1380.6688552966714,1.1200885537275428e-06,0.0011837563788256,3.67061947e-11,1.09804218e-08,4.96481296e-06,-2.66361345e-12,629.9970854798389,-1.8755355356951904e-06,168.55853290828304
