,x,y
0,7.16249405593181,1.0775700000000001e-23
1,9.759982535108405,1.6516225e-20
2,10.675646711773094,1.1358e-17
3,14.40946874999889,7.4624e-17
4,20.34639374362485,8.317149999999999e-17
5,31.918072405698634,9.680916666666666e-17
6,33.20779632018243,1.8105466666666667e-16
7,33.88120128690129,3.019761666666667e-16
8,49.117510047500446,1.3724333333333332e-15
9,62.88313211928535,4.6565750000000005e-15
10,117.27312236337828,7.477875000000001e-15
11,156.99450599355458,1.0440700000000001e-14
12,300.76864538335263,1.0804266666666667e-14
13,379.1965015693528,1.2199233333333334e-14
14,394.6224378376856,1.3407333333333334e-14
15,497.717283534366,2.59545e-14
16,684.5130378495344,5.2192e-14
17,850.709373603634,6.863333333333335e-14
18,1755.8386161387057,8.769466666666668e-14
19,3537.364862678965,1.2558e-13
20,42158.90153506118,9.581733333333333e-26
21,14001.632691912391,5.47956e-23
22,6921.985315013261,3.9216500000000007e-22
23,6332.441014677408,5.9786e-17
24,3691.099029963402,7.6484175e-15
25,3537.364862678965,1.2558e-13
