8.91483642105,  3.84646903545e-46
9.19853829776,  3.17742046789e-46
9.59090105139,  2.43159989625e-46
9.89611771485,  1.89674216493e-46
10.4265490243,  1.45152903057e-46
10.8712924557,  1.08979396444e-46
11.4539930722,  8.18206773629e-47
11.9425620292,  6.50545996142e-47
12.4519708474,  5.07451091363e-47
12.983108449,  4.35516034714e-47
13.6790022746,  3.73778320161e-47
14.563484775,  2.9718647836e-47
15.02694678,  2.7010664571e-47
15.6679197288,  2.40847830468e-47
15.9985871961,  2.27429330569e-47
16.1665287914,  2.18901613469e-47
16.3362333162,  2.06705816344e-47
16.8561104998,  1.87870642734e-47
17.7595970005,  1.74045941419e-47
18.9079302229,  1.55192728718e-47
19.7144461418,  1.46546382971e-47
21.6571301782,  1.25772317174e-47
23.0574773868,  1.14311858677e-47
25.595479227,  1.01929232754e-47
28.412846118,  9.44286399121e-48
29.9357729472,  9.26413722151e-48
32.8856781997,  9.26413722151e-48
35.0120618567,  9.08879324524e-48
36.8887062494,  9.26413722151e-48
38.8659386677,  9.26413722151e-48
41.8133720493,  9.81072821777e-48
44.0545662559,  1.07943133407e-47
48.3957535245,  1.23391802111e-47
52.612439018,  1.35762580116e-47
59.016718348,  1.58186757673e-47
66.8954878691,  1.84314781596e-47
74.2588636828,  2.14758423618e-47
82.4327471271,  2.31816971708e-47
89.6150501947,  2.45494345702e-47
101.578716523,  2.86043138989e-47
115.139539933,  3.14720701936e-47
130.510741912,  3.73778320161e-47
151.056118852,  4.35516034714e-47
160.823387767,  4.70109654359e-47
176.671108056,  4.97846474117e-47
188.094638826,  5.37391083717e-47
219.990348708,  6.38232996131e-47
276.806873942,  8.02720428201e-47
355.648030622,  1.00960008298e-46
407.359007889,  1.17635775289e-46
496.758291467,  1.42405568191e-46
593.256670935,  1.72390973766e-46
651.716860781,  1.89674216493e-46
786.487111371,  2.25266751067e-46
1053.59993937,  3.00039493212e-46
1245.19708474,  3.63216839482e-46
1502.694678,  4.39697024785e-46
1739.25320287,  5.02625841578e-46
2034.18301009,  5.85645559579e-46
2480.60619025,  7.08961100187e-46
3056.75598335,  8.91676803565e-46
3766.72330274,  1.10025607693e-45
4739.54838728,  1.3838175628e-45
5840.36391916,  1.67519894197e-45
6759.77083102,  1.98955150587e-45
8243.27471271,  2.40847830468e-45
9246.69205736,  2.59978694949e-45
9641.10880491,  2.7010664571e-45
