5.52448136694  2955209.2352e-7
5.59421542209  1902881.59123e-7
5.66482971162  1184484.58124e-7
5.7363353465  762698.585902e-7
5.80874357794  458949.293749e-7
5.95631354726  249493.263316e-7
6.10763250215  150131.072891e-7
6.26279568484  100000e-7
6.50296269797  58170.9132937e-7
6.7523396865  30569.9070094e-7
7.01127983652  19028.8159123e-7
7.37204526876  11069.2360052e-7
7.84921741339  5623.4132519e-7
8.46276725532  2955.2092352e-7
9.23944976138  1501.31072891e-7
9.71486568608  1000e-7
10.7403438399  525.518773532e-7
12.3294183427  266.974995729e-7
13.4609682539  183.95257958e-7
14.332259579  140.300372319e-7
15.6476230944  100e-7
17.2993490329  78.8966972946e-7
19.1254272395  62.24688844e-7
21.4111603056  50.8021804691e-7
23.9700676952  42.8896933517e-7
27.5165298915  38.7467512046e-7
31.5877045862  35.0039977343e-7
37.1824341499  33.8385515343e-7
43.7680872169  35.0039977343e-7
53.4958800088  37.4566913006e-7
66.2110961734  41.461695598e-7
81.9485398831  49.1107391478e-7
101.426552  58.1709132937e-7
123.969380443  68.902549873e-7
151.522525262  81.6140079325e-7
197.187024558  107.006895569e-7
241.01335187  126.748017888e-7
294.58041628  155.301793281e-7
364.598026426  190.288159123e-7
505.188915395  249.493263316e-7
633.157751157  316.227766017e-7
726.835835728  362.095835025e-7
888.380670179  443.668733098e-7
1156.11286655  581.709132937e-7
1485.77722068  762.698585902e-7
1885.64304539  966.705340091e-7
2580.18775634  1267.48017888e-7
3153.65425793  1606.50600385e-7
3903.23339546  1968.41944729e-7
4770.75692924  2411.86469964e-7
5686.62660448  2856.81654876e-7
7400.41111364  3745.66913006e-7
8602.56421867  4436.68733098e-7
9875.34613903  5080.21804691e-7
