0,550027768127  4,018750775e-08
0,638687566241  3,35287429591e-08
0,705598570561  2,32974126617e-08
0,766682207455  1,94258440719e-08
0,819335058864  1,5239598045e-08
0,875603910141  1,19554830006e-08
0,967335047728  8,82820971883e-09
1,06867624016  7,36221244629e-09
1,22050190478  5,43802069879e-09
1,30432138672  4,01438827868e-09
1,48962489958  3,55874745694e-09
1,64568289  3,35168397086e-09
1,78814958465  3,15620684365e-09
2,07638408908  2,47785883207e-09
2,49249683427  2,48184718015e-09
2,94272717621  2,80698571963e-09
3,25101692727  2,98563205232e-09
3,83826199121  3,58852970622e-09
4,45695717893  3,81859078745e-09
5,26203637786  3,82417799973e-09
5,71757063323  4,06696731523e-09
6,31656208627  3,39161374055e-09
7,09514929854  2,8288217845e-09
7,58241747577  2,2192140932e-09
7,96970612828  1,63800122988e-09
8,51703558039  1,20918497776e-09
8,6596432336  8,39586940958e-10
9,10195356139  3,8094295116e-10
9,10195356139  2,64465713339e-10
9,25435497205  1,72793425131e-10
9,40930816347  1,35497204072e-10
9,40930816347  8,85165897062e-11
9,56685586218  5,783390415e-11
9,88990927668  4,01623337196e-11
10,0555040707  2,78863627398e-11
10,223871553  1,51811414461e-11
10,5691110614  9,33492144496e-12
10,7460782832  4,23426406733e-12
10,9260086112  2,94002396729e-12
11,1089516589  1,18083156425e-12
11,4840785362  5,35696393784e-13
11,4840785362  2,58188913954e-13
12,6871882712  2,02608751457e-13
13,7855175959  1,58970050445e-13
14,9789292415  1,17370060775e-13
17,1069693363  9,21308196009e-14
18,2818116709  9,79656942032e-14
21,5841333456  6,81111844192e-14
23,4526708101  6,81609950126e-14
25,9096495284  7,249899777e-14
30,5898201133  7,26050754603e-14
34,9356824004  9,27118700389e-14
40,5670172677  9,28339482471e-14
44,8169510555  1,04934427416e-13
47,8948107497  1,1857746923e-13
53,7983840344  1,26142593586e-13
61,4414616145  1,51570618141e-13
70,170382867  1,71377259225e-13
81,4812517706  2,18869401733e-13
90,0174949627  2,32799011593e-13
96,1995580658  2,63066357855e-13
106,277739301  2,79808815702e-13
125,475140978  3,16465637442e-13
150,620683963  4,04282938468e-13
169,186374735  4,04696919306e-13
196,457779375  4,86347470929e-13
220,673406908  4,86845484855e-13
256,244083226  5,18057208822e-13
287,829044111  5,85669212729e-13
312,746391667  6,61911722544e-13
357,177929478  7,48407694378e-13
407,921807271  8,4620661325e-13
458,202750989  9,56645622431e-13
532,061137332  1,22175168397e-12
617,824867373  1,46824898648e-12
717,412981257  1,6603566228e-12
792,571518271  1,47147259142e-12
875,603910141  1,87842362338e-12
1051,07719982  1,99943417874e-12
1161,19149478  2,26005124919e-12
1261,71579087  2,40353732537e-12
1539,92652606  2,88973572954e-12
1818,09002736  3,6910802139e-12
2332,32174591  4,71809116234e-12
2576,66342197  5,33307269557e-12
3042,09713389  5,67580643672e-12
3838,26199121  8,1923238449e-12
4923,88263171  1,04717666623e-11
6422,32542223  1,25974082697e-11
7969,70612828  1,60978195086e-11
9254,35497205  1,93456718645e-11
9889,90927668  1,93569892298e-11
